E0002500070000000000042026-06-0914:00:00PAYMENT   0000044000EXECUTED  Spotify 
W0002600090000000000052026-06-1010:00:00WITHDRAW  0000080000EXECUTED  Retrait DAB 
E0002700090000000000052026-06-1011:00:00PAYMENT   0000066000EXECUTED  Fnac 
D0002800090000000000052026-06-1012:00:00DEPOSIT   0000220000EXECUTED  Prime 
E0002900090000000000052026-06-1013:00:00PAYMENT   0000099000EXECUTED  Air France 
W0003000090000000000052026-06-1014:00:00WITHDRAW  0000140000EXECUTED  Projet 
T0002000010001000700012026-06-2256:26:19TRANSFER  0000015000PENDING   Paiement bouquets de fleurs 
T0002000010001000700012026-06-2256:26:19WITHDRAW  0000015000PENDING   Paiement bouquets de fleurs 
T0002000010001000700012026-06-2256:26:19WITHDRAW  0000015000EXECUTED  Paiement bouquets de fleurs 
T0002000070007000700012026-06-2256:26:19DEPOSIT   0000015000PENDING   Paiement bouquets de fleurs 
T0002000070007000700012026-06-2256:26:19DEPOSIT   0000015000EXECUTED  Paiement bouquets de fleurs 
T0002000070007000700012026-06-2256:26:19TRANSFER  0000015000EXECUTED  Paiement bouquets de fleurs 
P0008100030000000000022026-06-2205:18:91PAYMENT   0000005000EXECUTED  blabla
D0008300030000000000022026-06-2207:28:98DEPOSIT   0000200000EXECUTED
W0008400030000000000022026-06-2207:44:20WITHDRAW  0000010000EXECUTED
T0010500030003000400022026-06-2237:02:87TRANSFER  0000001000PENDING
T0010500030003000400022026-06-2237:02:87WITHDRAW  0000001000PENDING
T0010500040003000400022026-06-2237:02:87WITHDRAW  0000001000EXECUTED
T0010500040003000400022026-06-2237:02:87DEPOSIT   0000001000PENDING
T0010500040003000400022026-06-2237:02:87DEPOSIT   0000001000EXECUTED
T0010500040003000400022026-06-2237:02:87TRANSFER  0000001000EXECUTED
T0010600030003000400022026-06-2237:07:44TRANSFER  0000001000PENDING
T0010600030003000400022026-06-2237:07:44WITHDRAW  0000001000PENDING
T0010600040003000400022026-06-2237:07:44WITHDRAW  0000001000EXECUTED
T0010600040003000400022026-06-2237:07:44DEPOSIT   0000001000PENDING
T0010600040003000400022026-06-2237:07:44DEPOSIT   0000001000EXECUTED
T0010600040003000400022026-06-2237:07:44TRANSFER  0000001000EXECUTED
D0010700010000000000012026-06-2223:52:38DEPOSIT   0000200000EXECUTED
D0010800020000000000012026-06-2224:05:83DEPOSIT   0000200000EXECUTED  1500
T0010900010001000300012026-06-2224:29:77TRANSFER  0000010000PENDING   Virement Sophie
T0010900010001000300012026-06-2224:29:77WITHDRAW  0000010000PENDING   Virement Sophie
T0010900010001000300012026-06-2224:29:77WITHDRAW  0000010000EXECUTED  Virement Sophie
T0010900030001000300012026-06-2224:29:77DEPOSIT   0000010000PENDING   Virement Sophie
T0010900030001000300012026-06-2224:29:77DEPOSIT   0000010000EXECUTED  Virement Sophie
T0010900030001000300012026-06-2224:29:77TRANSFER  0000010000EXECUTED  Virement Sophie
T0011000100010000900052026-06-2319:19:94TRANSFER  0000002000PENDING
T0011000100010000900052026-06-2319:19:94WITHDRAW  0000002000PENDING
T0011000100010000900052026-06-2319:19:94WITHDRAW  0000002000EXECUTED
T0011000090010000900052026-06-2319:19:94DEPOSIT   0000002000PENDING
T0011000090010000900052026-06-2319:19:94DEPOSIT   0000002000EXECUTED
T0011000090010000900052026-06-2319:19:94TRANSFER  0000002000EXECUTED
T0011200100010000900052026-06-2319:50:40TRANSFER  0000002000PENDING
T0011200100010000900052026-06-2319:50:40WITHDRAW  0000002000PENDING
T0011200100010000900052026-06-2319:50:40WITHDRAW  0000002000EXECUTED
T0011200090010000900052026-06-2319:50:40DEPOSIT   0000002000PENDING
T0011200090010000900052026-06-2319:50:40DEPOSIT   0000002000EXECUTED
T0011200090010000900052026-06-2319:50:40TRANSFER  0000002000EXECUTED
W0011300020000000000012026-06-2413:36:94WITHDRAW  0000010000EXECUTED  Besoin de cash
P0011400090000000000052026-06-2442:54:28PAYMENT   0000005000EXECUTED  Fnac
P0011500070000000000042026-06-2443:29:15PAYMENT   0000001000EXECUTED  Petit pois
P0011600070000000000042026-06-2449:21:26PAYMENT   0000003500EXECUTED  jeu vidéo
